Budget,Company Name,Created time,Expected YOE,Job Application Link,Job Application Link__linkedin,Job Application Link__links,Job Title,Location,__row_id
1200000,Equal,"August 22, 2025 6:53 PM",2,linkedin.com /pos…jOoKX8,https://www.linkedin.com/posts/vedanshgarg_hello-i-am-hiring-at-equal-for-a-founders-activity-7363462731682734080-T5Sq?utm_source=share&utm_medium=member_desktop&rcm=ACoAACZ9KnoBhx26d_RVIbo9mA9gwr_1zjOoKX8,https://www.linkedin.com/posts/vedanshgarg_hello-i-am-hiring-at-equal-for-a-founders-activity-7363462731682734080-T5Sq?utm_source=share&utm_medium=member_desktop&rcm=ACoAACZ9KnoBhx26d_RVIbo9mA9gwr_1zjOoKX8,Founder's office,Remote,2572955a-b7ed-8196-a813-ce38280997c9
,Jeeva AI,"August 22, 2025 6:41 PM",Executive (5+ yoe),linkedin.com /job…467490,https://linkedin.com/jobs/view/4282467490,https://linkedin.com/jobs/view/4282467490,Chief of staff,Pune,2572955a-b7ed-81a5-af6c-e199ab3713e7
,Global Access to Talent from India (GATI) Foundation,"August 22, 2025 6:41 PM",Associate (3-5 yoe),linkedin.com /job…100052,https://linkedin.com/jobs/view/4287100052,https://linkedin.com/jobs/view/4287100052,Founder's office,Bengaluru,2572955a-b7ed-813d-af35-f19c2d26ef9c
,Group Bayport,"August 22, 2025 6:41 PM",Executive (4-7 yoe),linkedin.com /job…726582,https://linkedin.com/jobs/view/4289726582,https://linkedin.com/jobs/view/4289726582,Chief of staff,Ahmedabad,2572955a-b7ed-8111-8955-c3e06b301ea9
,Whatfix,"August 22, 2025 6:41 PM",Director,linkedin.com /job…459527,https://linkedin.com/jobs/view/4289459527,https://linkedin.com/jobs/view/4289459527,Chief of staff,Bengaluru,2572955a-b7ed-81a4-8940-d20c2d8f98b4
,Indra Shakti Ventures,"August 22, 2025 6:41 PM",Executive (3-5 yoe),linkedin.com /job…789010,https://linkedin.com/jobs/view/4289789010,https://linkedin.com/jobs/view/4289789010,Chief of staff,Borivali,2572955a-b7ed-81f3-a880-d21e249fa52d
,DViO Digital,"August 22, 2025 6:41 PM",Executive,linkedin.com /job…444928,https://linkedin.com/jobs/view/4289444928,https://linkedin.com/jobs/view/4289444928,Chief of staff,Pune,2572955a-b7ed-8187-95a3-f925f4a9feba
700000,Founder's office club,"August 22, 2025 12:03 PM",3,linkedin.com /pos…bQFRDU,https://www.linkedin.com/posts/vedanshgarg_hello-i-am-hiring-at-equal-for-a-founders-activity-7363462731682734080-T5Sq?utm_source=share&utm_medium=member_desktop&rcm=ACoAADoplWUBx0BfkLEwcjwcSXxGovwTYbQFRDU,https://www.linkedin.com/posts/vedanshgarg_hello-i-am-hiring-at-equal-for-a-founders-activity-7363462731682734080-T5Sq?utm_source=share&utm_medium=member_desktop&rcm=ACoAADoplWUBx0BfkLEwcjwcSXxGovwTYbQFRDU,Founder's office,Ahmedabad,2572955a-b7ed-8154-86f3-e76056402c3b
12 LPA,Equal,"August 22, 2025 11:17 AM",2 years,bit.ly /FOC…d-Form,,https://bit.ly/FOC-Job-Board-Form,Founder's office,Remote,2572955a-b7ed-810a-996e-f6e93311f7b5
,LetsDressUp (LDU),"August 21, 2025 9:45 PM",Internship,linkedin.com /job…014746,https://linkedin.com/jobs/view/4289014746,https://linkedin.com/jobs/view/4289014746,Founder's office,Gurugram,2562955a-b7ed-81e5-9293-e5f6a94aa131
,Scimplify,"August 21, 2025 9:45 PM",Director (2-6 yoe),linkedin.com /job…142026,https://linkedin.com/jobs/view/4284142026,https://linkedin.com/jobs/view/4284142026,Founder's office,Bengaluru East,2562955a-b7ed-8123-bf3f-c73354f49fd6
